name,question_groups
TD1,"0,1"
TD2,"0,2"
TD3,"0,1"
TD4,"0,2"
TD5,"0,2"
TD6,"0,2"
TD7,"0,2"
TD8,"0,3"
TD9,"0,1"
TD10,"0,3"
TD11,"0,1"
TD12,"0,3"
TD13,"0,1"
TD14,"0,2"
TD15,"0,3"
TD16,"0,3"
TD17,"0,1"
TD18,"0,3"
